id,brand_name,generic_name,no_pocket,no_box,kind_id,ml,unit_id,weight,location,country_id,company,barcode,price,existence,minmum_existence,maximum_existence,must_advised,dividing_rules,cautions,usages,description,image,user
41,PANTACON-DSR,,1,1,3,40+30,,,,,,,4.1,,5,20,,,,,,,1
42,TWIG,MOXIFLOXACIN,1,1,6,400,,,,,,,40,,5,20,,,,,,,1
43,CIPRONEX,CIPROFLOXACIN,1,1,6,500,,,G5,,,,7,,0,0,,,,,,,1
44,DIACRA,DIACEREIN,1,1,3,50,,,,,,,5,,0,0,,,,,,,1
45,HILFOVIR,TENOFOVIR,1,1,6,300,,,M68,,,,22.8,,0,0,,,,,,,1
46,INFACID,FUSIDIC ACID,1,1,9,15,,,,,PLATINUM,,100,,60,200,,,,,,,1
47,VEAGRA DOOZ 99000,,1,1,13,60,,,,,,,300,,100,500,,,,,,,1
48,VIMGOR-X,,1,1,6,.,,,,,,,11,,50,200,,,,,,,1
49,PROSAFE DEPOT-200,PROGESTERONE,1,1,3,200,,,,,,,14.5,,5,20,,,,,,,1
50,RAZODEX,DEXLANSOPRAZOLE,1,1,3,30,,,N38,,GETZ,,8.2,,200,600,,,,,,,1
51,SAKOON,BROMAZEPAM,1,1,6,3,,,,,,,3,,200,600,,,,,,,1
52,FERROUS SULFATE,,1,1,6,50,,,I33,1,,,1.3,,200,2000,,,,,,,1
53,SILDENA HERB FOR MEN,,1,1,3,0,,,,,,,5,,200,2000,,,,,,,1
54,OMEZOL,Omeprazole,1,1,3,40,,,,,BOSCH,,10,,100,300,,,,,,,1
55,COVAM PLUS,,1,1,6,0,,,F25,,GETZ,,5.7,,1,20,,,,,,,1
56,ANDREX,TESTOSTERONE UNDECANOATE,1,1,3,40,,,,,,,13,,100,300,,,,,,,1
57,DOLINE,ETOFENAMATE,1,1,10,2,,,S46,,,,105,,5,50,,,,,,,1
58,PROLIDONE,"PROPYPHENAZONE ,CAFFEINE",1,1,6,175+25 MG,,,,,,,1,,10,20,,,,,,,1
59,CIF-O-CIF,CEFEXIME,1,1,3,400,,,,,,,11.5,,5,50,,,,,,,1
60,DERMSAVE,,1,1,14,100MLI,,,V12,,,,115,,10,50,,,,,,,1
61,MULTI-KIMESTOLE AFG,,1,1,1,150 ML,,,,2,,,150,,10,50,,,,,,,1
62,D-MEP,DOMPERIDONE,1,1,6,10,,,,,,,0.5,,1000,5000,,,,,,,1
63,NAPHAZOLINE 0.1%,,1,1,15,10,,,W22,1,,,35,,0,0,,,,,,,1
64,HYDROCHLOROTHIAZIDE+LOSARTAN,,1,1,6,12.5 + 50 MG,,,,,,,2.5,,0,0,,,,,,,1
65,METADAXAN 1ML,DEXAMETHASONE,1,1,10,5 MG,,,S35,,INCEPTA,,13,,0,0,,,,,,,1
66,ACETYLSALICYLZUUR MYLAN,,1,1,6,80,,,,,,,5,,0,0,,,,,,,1
67,RIFA-4,,1,1,6,0,,,M52,,SCHAZOO ZAKA,,10.5,,0,0,,,,,,,1
68,UROCIT-K,POTASSIUM CITRATE,1,1,6,1080MG,,,M49,,,,14,,100,300,,,,,,,1
69,LARGOPEN,,1,1,3,500,,,P12,,BILIM,,7,,0,0,,,,,,,1
70,ZEENARYL,GLIMEPIRIDE,1,1,6,2,,,X13,,HIGH-Q,,4,,5,20,,,,,,,1
71,PROLEXA,ESCITALOPRAM,1,1,16,10 mg,,,,,genetics,,225,,5,20,,,,,,,1
72,ARIP MT,ARIPIRAZOLE,1,1,6,5,,,T2,,,,10.3,,100,300,,,,,,,1
73,BRETHIN,TERBUTALINE,1,1,6,2.5,,,,,,,1,,0,0,,,,,,,1
74,HYOSCINE-N-BUTYL BROMIDE,,1,1,6,10,,,S67,,,,7,,0,0,,,,,,,1
75,ARTROPHIN ,HCG,1,1,17,5000,,,,,,,236,,0,0,,,,,,,1
76,CEFZIME,CEFIXIME,1,1,6,400,,,,,ANCALIMA,,11.8,,0,0,,,,,,,1
77,COAPROVEL 300/12.5 MG,IRBESARTAN+hydrochloride,1,1,6,300/12.5,,,,,SANOFI,,36.4,,0,0,,,,,,,1
78,CLOBECORT,CLOBETASOL 0.05%,1,1,18,0.0005,,,V17,,DERMACURE,,95,,0,0,,,,,,,1
79,LONG LAST,,1,1,6,0,,,N4,,COMBITIC,,30,,0,0,,,,,,,1
80,THYROXINOL,THYROXINE,1,1,6,25,,,J16,,,,0.8,,0,0,,,,,,,1
81,ABACUS,CEFPODOXIME PROXETIL,1,1,6,200,,,P37,,SAMI,,18,,0,0,,,,,,,1
82,SUNNY D,VITAMIN D3,1,1,1,120,,,,,SCATMON,,110,,0,0,,,,,,,1
83,PANTOCID L,,1,1,3,40/75,,,L36,,,,27.5,,0,0,,,,,,,1
84,RENALKA,,1,1,1,100MLI,,,K28,,,,65,,0,0,,,,,,,1
85,FOSFOMYCIN,,1,1,1,250 mg,,,T49,5,,,55,,0,0,,,,,,,1
86,UROMISIN,FOSFOMYCIN,1,1,19,3,,,,,,,250,,5,10,,,,,,,1
87,OLMO-AH,"OLMESARTAN ,AMODIPINE ,HYDROCHOLORIDE",1,1,6,20+5+12.5 MG,,,,,KNOLL,,7,,0,0,,,,,,,1
88,THYROXINOL,THYROXINE,1,1,6,50,,,,,,,0.8,,0,0,,,,,,,1
89,JAAMSLIC-B,"BETAMETHASONE ,SALICYLIC ACID",1,1,18,15,,,,,MEDICON,,50,,0,0,,,,,,,1
90,CLOBEVATE,CLOBETASOL,1,1,18,20,,,V17,,STIEFEL,,45,,0,0,,,,,,,1
91,LINZONOL-600,LINEZOLID,1,1,6,600,,,M28,,,,26.3,,0,0,,,,,,,1
92,XIMEPROX,CEFPODOXIME,1,1,1,40mg/5ml,,,,,INCEPTA,,150,,0,0,,,,,,,1
93,ROSTAT-F,"ROSUVASTATIN ,FENOFIBRATE",1,1,6,0,,,,,ZARGAN,,7,,0,0,,,,,,,1
94,GEMODERIVAT,,1,1,10,0,,,,,,,20,,0,0,,,,,,,1
95,AMTAS,"AMLODIPINE ,TELMISARTAN",1,1,6,5+40,,,,,GETZ,,11,,0,0,,,,,,,1
96,VITODOC O3 PLUS,,1,1,3,0,,,,,,,13,,0,0,,,,,,,1
97,PRAMOXAL,ESCITALOPRAM,1,1,6,20,,,,,,,5.7,,0,0,,,,,,,1
98,METRORISE,METRONIDAZOLE,1,1,4,500,,,,,,,35,,0,0,,,,,,,1
99,HUMALOG KIWIPEN MIX-25,,1,1,20,3 ML,,,,,,,500,,0,0,,,,,,,1
100,DUOLIN RESPULES,,1,1,16,3,,,Q13,,,,30,,0,0,,,,,,,1
101,XARELTO,RIVAROXABAN,1,1,6,15,,,,,,,185.7,,0,0,,,,,,,1
102,TORSINOL,TORSEMIDE,1,1,6,20,,,F84,,KNOLL,,6,,0,0,,,,,,,1
103,C-XONE,CEFTRIAXONE,1,1,7,1 گرم,,,,,CARAWAY,,115,,0,0,,,,,,,1
104,SODOCARE,ANTISEPTIC,1,1,9,50G,,,Q65,,,,70,,0,0,,,,,,,1
105,BONE CARE,,1,1,11,0,,,,,,,6.3,,0,0,,,,,,,1
106,AVINES,MILK OF MAGNESIA,1,1,1,۱۲۰,,,O74,,AVISON,,35,,0,0,,,,,,,1
107,AVISYP,CYPROHETADINE,1,1,1,۱۲۰MLI,,,,,AVISON,,45,,0,0,,,,,,,1
108,MONTEVIS,MONTELUKAST,1,1,6,10,,,Q44,,Anvis,,3.5,,0,0,,,,,,,1
109,COMIN,MECOBALAMIN,1,1,6,۵۰۰,,,I23,,GENIX,,3.5,,0,0,,,,,,,1
110,WOBENZYM N,,1,1,6,0,,,M52,,PACIFIC,,11.5,,0,0,,,,,,,1
111,METOPROLOL,,1,1,6,50,,,F56,1,,,1,,0,0,,,,,,,1
112,KEFROX,CEFUROXIME,1,1,6,500,,,,,,,16.5,,0,0,,,,,,,1
113,PULMOFLOX,LEVOFLOXACIN,1,1,6,500,,,,,,,12.8,,0,0,,,,,,,1
114,PHENYTOIN,,1,1,1,120,,,,1,,,100,,10,20,,,,,,,1
115,FYGESIC,"PARACETAMOL ,ORPHENADRINE",1,1,6,450+35,,,,,FYNK,,1.2,,0,0,,,,,,,1
116,IPRAVENT,IPRATROPIUM,1,1,14,500MCG,,,Q14,,,,18,,0,0,,,,,,,1
117,AMLOPRES-AT,"AMLODIPINE ,ATENOLOL",1,1,6,May-50,,,,,,,7.1,,0,0,,,,,,,1
118,OXAQUIN,MOXIFLOXACIN,1,1,6,400 MG,,,M31,,,,34,,0,0,,,,,,,1
119,CLOVIMEX 400,ACICLOVIR,1,1,6,400,,,,,,,5.3,,0,0,,,,,,,1
120,PLASIL WITH ENZYM,,1,1,6,0,,,,,,,5,,0,0,,,,,,,1
121,HITOP,TOPIRAMATE,1,1,6,50,,,T95,,,,22,,0,0,,,,,,,1
122,EXTOR,"AMLODIPINE ,VALSARTAN",1,1,6,May-80,,,F26,,Searle,,10,,0,0,,,,,,,1
123,REFRESH LIQUIGEL 1%,,1,1,12,0.01,,,,,ALLERGON,,260,,0,0,,,,,,,1
124,NUPENTA,PANTOPRAZOLE,1,1,6,40,,,K46,,,,3.5,,0,0,,,,,,,1
125,SEVELAMIR,,1,1,6,800,,,,1,,,10,,0,0,,,,,,,1
126,XIM,AZITHROMYCIN,1,1,6,500,,,P25,,,,25,,0,0,,,,,,,1
127,THRIZE,"TRYPSIN ,BROMELAIN ,RUTOSIDE TRIHYDRATE",1,1,6,48+90+100 MG,,,,,,,23,,0,0,,,,,,,1
128,LOJIN,LAMOTRIGINE,1,1,6,50,,,O22,,,,10.5,,0,0,,,,,,,1
129,AMARYL 2 INDIA,GLIMEPIRIDE,1,1,6,2,,,,,SANOFI,,7.5,,0,0,,,,,,,1
130,CROMOG-T,,1,1,21,15,,,,,,,80,,0,0,,,,,,,1
131,CALCIKEY,CHOLECALCIFEROL,1,1,22,1G,,,J44,,,,20,,0,0,,,,,,,1
132,FAMOTIDINE,,1,1,6,20,,,N69,1,,,1.3,,0,0,,,,,,,1
133,OMEGA 3 ,NATURAL HEALTH,1,1,3,1000,,,,,,,5,,0,0,,,,,,,1
134,ROSUBEST GOLD,"RASURASTATIN ,CLOPIDOGREL ,ASPIRIN",1,1,3,10+75+75 MG,,,,,CADILA,,6,,0,0,,,,,,,1
135,TEMSUNOL-F,"TAMSULOSIN ,FINASTERIDE",1,1,6,0.4+5 MG,,,M63,,KNOLL,,6,,0,0,,,,,,,1
136,EXTOR,"AMLODIPINE ,VALSARTAN",1,1,6,5/160,,,F26,,Searle,,12.1,,0,0,,,,,,,1
137,ACECLO-SERA,,1,1,6,0,,,,,ARISTO,,3,,0,0,,,,,,,1
138,FLUCORT,FLUOROMETHOLONE,1,1,9,20,,,,,DERMACURE,,90,,0,0,,,,,,,1
139,EARLY DETECTION WITH DROPER,,1,1,5,0,,,,,,,18,,0,0,,,,,,,1
140,MOVERYL,CELECOXIB,1,1,6,100,,,,,SAMI,,5,,0,0,,,,,,,1
141,RELEX COUGH,,1,1,1,100,,,Q18,,TORQUE,,80,,0,0,,,,,,,1
142,CALPOL,PARACETAMOL,1,1,1,100,,,K9,,GSK,,50,,0,0,,,,,,,1
143,DEXON 2/0 ,SUPABON,1,1,5,75,,,,,,,90,,0,0,,,,,,,1
144,ESETALO-10,ESCITALOPRAM OXALATE,1,1,6,10,,,K32,,,,3,,300,1000,,,,,,,1
145,PENEGRA,,1,1,6,100,,,N2,,,,12.2,,5,10,,,,,,,1
146,QURE,LEVOFLOXACIN,1,1,4,100,,,,,,,47,,0,0,,,,,,,1
147,FCN,FLUCONAZOLE,1,1,6,150,,,G5,,,,10,,0,0,,,,,,,1
148,CLOPICARD,CLOPIDOGREL,1,1,6,75,,,,,,,2,,0,0,,,,,,,1
149,BETAKSIM,CEFOTAXIME,1,1,7,500,,,R14,,,,90,,0,0,,,,,,,1
150,APICAM-10,ESCITALOPRAM,1,1,6,10,,,,,,,10,,0,0,,,,,,,1
151,CANESTEN,CLOTRIMAZOLE,1,1,18,20,,,,,,,70,,0,0,,,,,,,1
152,FLAVEDON MR,TRIMETAZIDINE,1,1,6,35,,,,,,,15,,100,200,,,,,,,1
153,SOLIFENACIN,,1,1,6,10,,,F33,1,,,6,,0,0,,,,,,,1
154,MOMETASONE,,1,1,23,0.001,,,V19,1,,,112,,0,0,,,,,,,1
155,FARACORT,,1,1,24,400 MG,,,,,,,470,,0,0,,,,,,,1
156,TELMA,,1,1,6,40,,,,,GLENMARK,,14.5,,0,0,,,,,,,1
157,FUSIWAL,FUSIDIC ACID,1,1,18,0.02,,,,,WALLACE,,100,,0,0,,,,,,,1
158,ITOPER,ITOPRIDE,1,1,6,50,,,N72,,HIGH-Q,,8.5,,0,0,,,,,,,1
159,PROTONIX,PANTOPRAZOLE,1,1,6,40,,,,6,WILSHIRE,,10.7,,0,0,,,,,,,1
160,SEFOTAK,CEFOTAXIME,1,1,7,1000,,,,,,,118,,0,0,,,,,,,1
161,PSYCOREST,SERTRALIN,1,1,6,50,,,T87,,AL MEDERICH,,5.5,,0,0,,,,,,,1
162,ATEN,ATENOLOL,1,1,6,25,,,,,,,2.5,,0,0,,,,,,,1
163,OLANZAPINE,bakhtar,1,1,6,5,,,F24,1,,,4.4,,0,0,,,,,,,1
164,PREFEM,,1,1,22,1.5,,,,,,,26,,100,200,,,,,,,1
165,ACNE-FREE 5%,,1,1,25,0.05,,,,,,,60,,0,0,,,,,,,1
166,DERMISCOT,"clotrimazole ,gentamicin ,clobetasole",1,1,9,15,,,K5,,,,30,,0,0,,,,,,,1
167,NEO-MERCAZOLE ,,1,1,6,5,,,J15,6,,,1,,500,1000,,,,,,,1
168,EFIPRES,EPHEDRINE,1,1,10,30,,,F1,,,,175,,0,0,,,,,,,1
169,NO-BOYLE,FUSIDIC ACID,1,1,18,15,,,V34,,,,125,,0,0,,,,,,,1
170,NESOGEN,ESOMEPRAZOLE,1,1,3,20,,,N52,,,,5.7,,0,0,,,,,,,1
171,ATOKSILIN,AMOXICILLIN,1,1,6,1GR,,,P14,,ATABAY,,17.7,,0,0,,,,,,,1
172,BENNI MOM,,1,1,1,120,,,,,,,170,,0,0,,,,,,,1
173,TEMSUNOL,TAMSULOSIN,1,1,6,0.4,,,,,KNOLL,,4,,0,0,,,,,,,1
174,MARINOX ZINC +,,1,1,3,10,,,,,,,13.3,,0,0,,,,,,,1
175,Z-FOL VIT ,,1,1,3,0,,,I31,,ZAFARAN,,5,,0,0,,,,,,,1
176,NURAN-GB,"METHYLCOBALAMIN ,GABAPENTIN",1,1,6,500 MCG + 300 MG,,,K42,,Anvis,,4.5,,0,0,,,,,,,1
177,BTNO,BAMBUTEROL,1,1,1,120ML,,,,,GENIX,,110,,0,0,,,,,,,1
178,RICOVIR,TENOFOIVR,1,1,6,300,,,,,,,30.7,,0,0,,,,,,,1
179,CIMIKACIN,AMIKACIN,1,1,10,100,,,,,,,17,,0,0,,,,,,,1
180,MAZETOL,CARBAMAZEPINE,1,1,6,100,,,,,ABBOTT,,2,,0,0,,,,,,,1
181,SILODAL 8,SILODOSIN,1,1,3,8,,,,,SUN,,31,,0,0,,,,,,,1
182,PROSEK,Omeprazole,1,1,3,20,,,,,,,14.6,,0,0,,,,,,,1
183,TESTOSTERONE,,1,1,7,250,,,S73,1,,,25,,0,0,,,,,,,1
184,MOMETASONE,,1,1,23,0.001,,,,1,,,150,,0,0,,,,,,,1
185,ESCITOSA,ESCITALOPRAM,1,1,6,20,,,T36,,,,4,,0,0,,,,,,,1
186,GINKOZEM,,1,1,1,240,,,,,,,125,,0,0,,,,,,,1
187,CIPROX,CIPROFLOXACIN,1,1,4,0.002,,,,,,,33,,0,0,,,,,,,1
188,KULGUT,Omeprazole,1,1,3,20,,,,4,,,1.4,,0,0,,,,,,,1
189,NEW PLACENTYNE,,1,1,10,0,,,S34,,,,42,,0,0,,,,,,,1
190,ORIMOL (PARACETAMOL) _K12,PARACETAMOL,1,1,6,500,,,K12,,ORISON,,1.5,,0,0,,,,,,,1
191,PACITANE,TRIHEXYPHENIDYL,1,1,6,2,,,L17,,,,2,,0,0,,,,,,,1
192,SKIN SHINE,,1,1,9,15,,,,,CADILA,,75,,0,0,,,,,,,1
193,ALEEDA THERAPEYTIC ICE,,1,1,25,225,,,V13,,,,150,,0,0,,,,,,,1
194,GLUCONORM,GLIMEPRIDE,1,1,6,3,,,X14,,AGP,,5.5,,0,0,,,,,,,1
195,NASONEX,MOMETASONE,1,1,26,50,,,W4,,,,360,,0,0,,,,,,,1
196,BIOFOL-B,"CA ,L ,METHYL ,B6",1,1,6,0,,,M34,,,,4.8,,0,0,,,,,,,1
197,ROZUCOR F 10,ROSUVASTATIN+FENOFIBRATE,1,1,6,10+160,,,,,,,18.5,,0,0,,,,,,,1
198,PHARM VIT,,1,1,27,0,,,M34,,,,13.5,,0,0,,,,,,,1
199,ATELOR,ATENOLOL,1,1,6,100,,,,,PHARMEDIC,,1.8,,0,0,,,,,,,1
200,LENOVA,LEVOFLOXACIN,1,1,6,500,,,K35,,,,3.5,,0,0,,,,,,,1
201,REBRO-D,,1,1,6,.,,,,,,,3,,0,0,,,,,,,1
202,NEOTONOPHOS,,1,1,6,0,,,H24,,HOWARDS,,8.2,,0,0,,,,,,,1
203,ANMOX BD,AMOXICILLIN,1,1,3,1000,,,,,,,7.5,,0,0,,,,,,,1
204,MEDISPIR,SPIRAMYCIN,1,1,6,1000,,,,,UNIMAX,,29,,0,0,,,,,,,1
205,ZYMVIS 10,SERRATIOPEPTIDASE,1,1,6,10 MG,,,,,,,1.5,,0,0,,,,,,,1
206,CLARTICIN-L,"LORATADINE ,ANTHIHISTAMINE",1,1,6,0,,,,,,,3.5,,0,0,,,,,,,1
207,ZEENARYL,GLIMEPIRIDE,1,1,6,3,,,X14,,HIGH-Q,,4.5,,0,0,,,,,,,1
208,VONOZAN,VONOPRAZINE,1,1,6,20,,,O64,,,,15.7,,0,0,,,,,,,1
209,YAMADIN-40,FAMOTIDINE,1,1,6,40,,,,,,,6,,0,0,,,,,,,1
210,COLIMEX,,1,1,28,10,,,W35,,WALLACE,,47,,0,0,,,,,,,1
211,COFNEXT,KID,1,1,1,120 ml,,,,,NEXT,,110,,0,0,,,,,,,1
212,FUCITHALMIC,FUSIDIC ACID,1,1,15,5,,,W55,,,,207,,0,0,,,,,,,1
213,BIOMYCIN 500,CLRITHROMYCIN,1,1,6,500,,,,,,,13,,0,0,,,,,,,1
214,GELOFUSINE,PLASMA,1,1,4,500,,,L10,,,,310,,0,0,,,,,,,1
215,VITIX REGULATING,,1,1,25,20,,,,,DERMACURE,,826,,0,0,,,,,,,1
216,PROPEN 0.4 MGA,PROCAINE PENCILLINE,1,1,17,0.4,,,,,,,6,,0,0,,,,,,,1
217,VENTOLIN,,1,1,1,120,,,Q54,,GSK,,45,,0,0,,,,,,,1
218,NOOTROPIL,PIRACETAM,1,1,1,1,,,,,GSK,,200,,5,10,,,,,,,1
219,INTIG-D,,1,1,6,0,,,i13,,SAMI,,5,,0,0,,,,,,,1
220,SITAGLU MET XR,,1,1,6,0,,,X27,,HILtON,,12.9,,0,0,,,,,,,1
221,FKN,FLUCONAZOLE,1,1,6,150,,,,,,,17,,0,0,,,,,,,1
222,CEFOTAX 1000,CEFOTAXIME,1,1,10,1000,,,,,,,35,,0,0,,,,,,,1
223,SCAR FREE,,1,1,9,25,,,,,AUSTRO,,130,,0,0,,,,,,,1
224,SCAR GEL,,1,1,25,50,,,,,,,650,,0,0,,,,,,,1
225,METOMIDE,METOCLORPRAMIDE,1,1,6,10,,,,,CCL,,0.7,,0,0,,,,,,,1
226,WARF-3,WARFARIN,1,1,6,3,,,L42,,,,4,,0,0,,,,,,,1
227,FORACORT,,1,1,3,200,,,J20,,,,7,,0,0,,,,,,,1
228,ECOSPRIN-AV 150,"ATORVASTATIN ,ASPRIN",1,1,3,150,,,,,USV,,2.8,,0,0,,,,,,,1
229,PHENERGAN,PROMETHAZINE,1,1,10,25,,,S36,,,,8,,0,0,,,,,,,1
230,MUM DERM BABY,,1,1,18,30,,,,,,,120,,0,0,,,,,,,1
231,METHYGIN,METHYERGOMETRINE,1,1,10,0.2,,,,,,,18,,0,0,,,,,,,1
232,KIDICARE,,1,1,1,200,,,H50,,MEYER,,205,,0,0,,,,,,,1
233,DEXARAB,DEXRABEPRAZOLE,1,1,6,10,,,G6,,,,13,,0,0,,,,,,,1
234,HYDROXYPROGESTERONE zafa ,,1,1,10,250,,,S71,,,,66.7,,0,0,,,,,,,1
235,CELECOXIB,,1,1,3,200,,,L12,1,,,2.5,,0,0,,,,,,,1
236,ULTRA PILL SPLITTER,,1,1,29,0,,,,,,,85,,0,0,,,,,,,1
237,OLEDRO,COLD & FLU,1,1,1,100,,,,,,,125,,0,0,,,,,,,1
238,MICRONEMA,,1,1,16,10,,,V50,,,,25,,0,0,,,,,,,1
239,PROMISEC 20,Omeprazole,1,1,3,20,,,,,,,2.5,,0,0,,,,,,,1
240,ESOCARE-LSR,,1,1,3,0,,,,,,,5.8,,0,0,,,,,,,1
241,VALODIN 125,CEPHRADINE,1,1,1,125,,,,,HILtON,,65,,0,0,,,,,,,1
242,CAPADERM,,1,1,9,15,,,V15,,,,30,,0,0,,,,,,,1
243,پيش بند پارچه‌اي,,1,1,5,0,,,,,,,100,,0,0,,,,,,,1
244,CIPROKEM,CIPROFLOXACIN,1,1,4,100,,,,,,,40,,0,0,,,,,,,1
245,M-LOW PLUS,,1,1,6,10+12.5,,,,,SCILIFE,,5,,0,0,,,,,,,1
246,OXIDIL,CEFTRIAXONE,1,1,10,1,,,R12,,SAMI,,155,,0,0,,,,,,,1
247,PROLUTON DEPOT 250,HYDROXYPROGESTERONE,1,1,10,250,,,S81,6,BAYER,,100,,0,0,,,,,,,1
248,QQ,,1,1,6,0,,,,,,,1,,0,0,,,,,,,1
249,OLANZAPINE,,1,1,6,10,,,F24,1,,,6,,0,0,,,,,,,1
250,AMRIZOLE-N,,1,1,8,0,,,V29,,AMRIYA,,25,,0,0,,,,,,,1
251,CORTAN 5,PREDNISOLONE,1,1,6,5,,,K25,,INCEPTA,,3.5,,0,0,,,,,,,1
252,ENIER,BETAHISTINE,1,1,6,16,,,,,SAMI,,6.8,,0,0,,,,,,,1
253,DEXTOP,DEXLANSOPRAZOLE,1,1,3,60,,,N41,,Searle,,13.5,,0,0,,,,,,,1
254,EPLIRON,EPLERENONE,1,1,6,25,,,,,HIGHANOON,,13.6,,0,0,,,,,,,1
255,TELMA,,1,1,6,80,,,,,GLENMARK,,13.3,,0,0,,,,,,,1
256,SITAGLU MET XR,,1,1,6,0,,,X27,,HILtON,,12.5,,0,0,,,,,,,1
257,TRIFARBE,CONTRACEPTIVE TRIPHASIC,1,1,6,0,,,,,,,0.7,,0,0,,,,,,,1
258,STREPSILS AYURVEDIC,,1,1,6,0,,,,,,,3,,0,0,,,,,,,1
259,EVOROX,CEFRUROXIME,1,1,17,750,,,,,PHARMAEVO,,60,,0,0,,,,,,,1
260,HAB-E-MUNIR,,1,1,6,0,,,,,,,1.6,,0,0,,,,,,,1
261,OMEVIS,,1,1,3,20,,,,,Anvis,,2.5,,0,0,,,,,,,1
262,PHENOMED,PHENOBARBITONE,1,1,1,60,,,T59,,,,45,,0,0,,,,,,,1
